@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
4.63,5.97,1.85,1.08,2.33,1,2.14,0.67,1.85,1.31,2.67,0.67,2,1.17,0.85,1.77,1,1.33,0.71,2.17,D
4.63,4.57,1.62,1.5,2.33,1.67,2,1.25,1.38,1,2.33,1.67,1.75,0.75,0.88,1.25,1,1.33,0.75,1,D
4.63,1.4,1.73,0.87,1.67,1,2,0.57,1.67,1.07,1.67,1,1.75,0.43,0.8,2,0.67,2.67,0.62,2.57,A
4.63,1.47,1.96,1.04,3,0.67,1.92,0.83,1.81,0.92,2,0.67,1.77,0.92,0.77,1.31,0.33,1,0.69,1.33,H
2.95,5.58,1.62,2,1.67,2,1.25,1.5,1.5,1.5,1.33,2,1.5,1.25,1,1,1,1.67,1.5,1.75,A
2.95,2.37,1.41,1.64,2,2.33,1.14,1.43,1.81,1.5,2,1.33,1.93,1.43,1.33,1.11,0.67,0.67,1.64,1.21,A
2.95,2.11,1.44,2.19,1,2.33,1.5,2.25,1.81,2.12,1.67,2,2.12,2.25,1.31,1.38,1.67,0.67,1.5,1.12,A
2.95,1.72,1.5,1.57,1.67,2,1.57,2,1.93,1.36,2.67,2.33,2.29,1.33,1.36,1,1.33,1,1.57,0.83,D
2.95,0.72,1.42,0.42,1.33,0.33,1.33,0.5,1.67,0.83,2.67,0.67,2,1.17,1.33,1.67,1.67,1.67,1.83,2.17,H
2.95,4.63,1.37,1.84,1,3,1.2,1.78,1.84,1.74,2,2.33,2.2,1.67,1.47,0.79,2.33,0.33,1.9,0.89,D
2.95,1.05,1.4,1.16,2,0.67,1.23,1.08,1.84,0.92,2.33,0.33,2.08,0.67,1.36,1.28,0.67,0.67,1.69,1.17,A
2.95,5.74,1.36,1.79,1,0.33,1.07,1.67,1.82,1.59,1.67,1.67,1.93,1.8,1.39,1.03,1.67,2.33,1.73,1.33,A
2.95,0.77,1.3,0.6,0.33,1.33,1,0.2,1.3,1.1,0.67,1.67,1.2,0.8,1.3,1.9,2,1,1.8,2.4,H
2.95,1.52,1.44,1.44,1.33,1.33,1.33,1.44,1.78,0.89,1.33,1,2.11,0.67,1.33,0.89,1.33,0.67,1.67,0.78,A
2.95,2.39,1.25,1.52,0.67,2,1,1.25,1.62,1.33,0.33,2,1.81,0.81,1.34,1.03,0.67,1.33,1.75,0.94,D
